#Combined spectrum created by combine_nIR_spectra.pro, knotE_N3.specfrom list
#Wavelengths were already in vacuum heliocentric
#Units are erg/s/cmsq/A, determined by xtellcor_general
wave  flam  noise
12963.2000  2.910e-18  2.359e-18
12965.8000  -2.266e-19  2.710e-18
12968.4000  1.000e-18  3.071e-18
12971.0000  3.550e-19  3.207e-18
12973.6000  -3.306e-18  3.136e-18
12976.2000  7.064e-19  3.313e-18
12978.8000  1.012e-17  4.150e-18
12981.4000  1.802e-18  5.399e-18
12984.0000  5.886e-18  6.121e-18
12986.6000  -6.083e-18  5.905e-18
12989.2000  1.759e-17  4.967e-18
12991.8000  4.219e-18  3.165e-18
12994.4000  3.061e-18  2.236e-18
12997.0000  6.536e-18  2.335e-18
12999.6000  3.197e-18  2.560e-18
13002.2000  4.426e-19  2.673e-18
13004.8000  1.625e-19  2.727e-18
13007.4000  -1.759e-19  2.688e-18
13010.0000  -1.647e-18  2.929e-18
13012.6000  7.409e-18  4.433e-18
13015.2000  1.104e-18  7.731e-18
13017.8000  2.740e-18  1.120e-17
13020.4000  5.092e-18  1.226e-17
13023.0000  -7.131e-19  1.161e-17
13025.6000  6.253e-18  8.809e-18
13028.2000  6.866e-18  4.222e-18
13030.8000  5.689e-18  2.334e-18
13033.5000  3.235e-18  2.054e-18
13036.1000  1.834e-18  2.030e-18
13038.7000  -3.283e-18  2.039e-18
13041.3000  3.420e-18  2.171e-18
13043.9000  7.266e-18  3.236e-18
13046.5000  9.886e-18  5.139e-18
13049.1000  6.204e-18  6.968e-18
13051.7000  -7.340e-18  7.408e-18
13054.3000  2.337e-18  7.106e-18
13056.9000  -7.467e-18  5.576e-18
